X,Y,Wardno_Name,Circleno_Name,Zone,Address,Latitude,Longitude,Category
78.4398009,17.4565961,100-SANATH NAGAR,17-KHAIRATABAD,17-KHAIRATABAD,SANATHNAGAR,17.4566,78.4398,FIRE STATIONS
78.3749978,17.4493194,104-KONDAPUR,20-SERILINGAMPALLY,20-SERILINGAMPALLY,MADHAPUR,17.4493,78.375,FIRE STATIONS
78.3101819,17.4296726,105-GACHIBOWLI,20-SERILINGAMPALLY,20-SERILINGAMPALLY,STATE TRAINING INSTITUTE,17.4297,78.3102,FIRE STATIONS
78.391776,17.49211,114-KPHB COLONY,23-MOOSAPET,23-MOOSAPET,KUKATPALLY,17.4921,78.3918,FIRE STATIONS
78.5911386,17.3282474,13-HAYATHNAGAR,3-HAYATHNAGAR,3-HAYATHNAGAR,HAYATNAGAR,17.3282,78.5911,FIRE STATIONS
78.4391777,17.5287707,130-SUBHASH NAGAR,25-QUTUBULLAPUR,25-QUTUBULLAPUR,JEEDIMETLA,17.5288,78.4392,FIRE STATIONS
78.5354325,17.4512468,140-MALKAJGIRI,28-MALKAJGIRI,28-MALKAJGIRI,MALKAJGIRI,17.4512,78.5354,FIRE STATIONS
78.4880261,17.4428416,149-BEGUMPET,30-BEGUMPET,30-BEGUMPET,SECUNDERABAD,17.4428,78.488,FIRE STATIONS
78.5019477,17.3684301,27-AKBERBAGH,6-MALAKPET,6-MALAKPET,MALAKPET,17.3684,78.5019,FIRE STATIONS
78.4798362,17.3715791,30-DABEERPURA,6-MALAKPET,6-MALAKPET,SALARJUNG MUSEUM,17.3716,78.4798,FIRE STATIONS
78.4767231,17.3595747,33-MOGHALPURA,9-CHARMINAR,9-CHARMINAR,MOGHALPURA,17.3596,78.4767,FIRE STATIONS
78.4723808,17.3698033,49-GANSIBAZAR,9-CHARMINAR,9-CHARMINAR,HIGH COURT,17.3698,78.4724,FIRE STATIONS
78.5581457,17.4387571,5-MALLAPUR,1-KAPRA,1-KAPRA,MOULAALI,17.4388,78.5581,FIRE STATIONS
78.4790509,17.3796084,50-BEGUMBAZAR,14-GOSHAMAHAL,14-GOSHAMAHAL,GOWLIGUDA,17.3796,78.4791,FIRE STATIONS
78.4592327,17.3531882,54-JAHANUMA,10-FALAKNUMA,10-FALAKNUMA,CHANDULAL BARADARI,17.3532,78.4592,FIRE STATIONS
78.4252806,17.3571914,60-RAJENDRANAGAR,11-RAJENDRANAGAR,11-RAJENDRANAGAR,RAJENDRA NAGAR (O/P),17.3572,78.4253,FIRE STATIONS
78.422115,17.3768619,67-GOLKONDA,13-KARWAN,13-KARWAN,LANGER HOUSE,17.3769,78.4221,FIRE STATIONS
78.4712905,17.4086942,78-GUNFOUNDRY,14-GOSHAMAHAL,14-GOSHAMAHAL,SECRETARIAT,17.4087,78.4713,FIRE STATIONS
78.4678907,17.4018052,78-GUNFOUNDRY,14-GOSHAMAHAL,14-GOSHAMAHAL,ASSEMBLY,17.4018,78.4679,FIRE STATIONS
78.5007369,17.4080684,85-ADIKMET,15-MUSHEERABAD,15-MUSHEERABAD,MUSHEERABAD,17.4081,78.5007,FIRE STATIONS
78.4089107,17.4126934,95-JUBILEE HILLS,18-JUBILEE HILLS,18-JUBILEE HILLS,FILM NAGAR,17.4127,78.4089,FIRE STATIONS
